date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:26:28	4586/4586	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:29%20GMT	http://www.qub.ac.uk/cite2write/vancouver2f.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/vancouver2f.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:29	4579/4579	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:30%20GMT	http://www.qub.ac.uk/cite2write/vancouver2g.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/vancouver2g.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:30	4586/4586	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:31%20GMT	http://www.qub.ac.uk/cite2write/vancouver2h.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/vancouver2h.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:30	24552/24552	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:31%20GMT	http://www.qub.ac.uk/cite2write/vancouver3a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/vancouver3a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:31	24548/24548	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:32%20GMT	http://www.qub.ac.uk/cite2write/vancouver3b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/vancouver3b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:31	3650/3650	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:32%20GMT	http://www.qub.ac.uk/cite2write/vancouver4a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/vancouver4a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:33	354084/354084	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Dec%202020%2018:56:33%20GMT	http://www.qub.ac.uk/cite2write/mhra1a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra1a.68.delayed	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:34	4520/4520	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:34%20GMT	http://www.qub.ac.uk/cite2write/mhra1b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra1b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:34	4553/4553	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:35%20GMT	http://www.qub.ac.uk/cite2write/mhra1c.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra1c.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:35	4471/4471	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:36%20GMT	http://www.qub.ac.uk/cite2write/mhra1d.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra1d.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:36	4486/4486	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:37%20GMT	http://www.qub.ac.uk/cite2write/mhra1e.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra1e.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:36	4478/4478	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:37%20GMT	http://www.qub.ac.uk/cite2write/mhra1f.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra1f.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:37	4476/4476	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:38%20GMT	http://www.qub.ac.uk/cite2write/mhra1g.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra1g.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:38	4560/4560	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:39%20GMT	http://www.qub.ac.uk/cite2write/mhra2a.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2a.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:40	4567/4567	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:41%20GMT	http://www.qub.ac.uk/cite2write/mhra2b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2b.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
00:26:56	4588/4588	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:56:57%20GMT	http://www.qub.ac.uk/cite2write/mhra2c.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/mhra2c.html	(from http://www.qub.ac.uk/cite2write/sitemap.html)
